Ticker,Formation_Year,P/E,ROE,Revenue_Growth,Debt_to_Equity,Price_t,Price_t+1y,Return_1y
TCB,2023,9.2616863103,0.001469452028,0.001791782866976995,5.4542425881,15.42,24.65,0.5985732814526588
TCH,2023,19.1665715291,0.00071645511,0.007019244178870089,0.4042679726,13.2,15.15,0.14772727272727282
TLG,2023,10.9476830255,0.0017723901619999998,-0.0007796625067477582,0.341200999,43.44,63.86,0.4700736648250461
TPB,2023,9.2619683776,0.001373711837,0.002872894355710246,9.8919425841,13.15,15.52,0.18022813688212921
VCB,2023,16.0059572827,0.002197388427,-0.0001708680635418842,10.1483151118,53.71,61.0,0.1357289145410538
VCG,2023,32.5841304431,0.000572008808,0.009641350894041814,1.9971899901,19.71,16.22,-0.17706747843734155
VCI,2023,46.2384939091,0.0007094762870000001,0.00011994413070922841,1.3408760556,32.36,32.96,0.018541409147095223
VGC,2023,20.8694050844,0.001574906057,-0.0008121311581512899,1.5303848845,53.3,44.95,-0.15666041275797363
VHC,2023,17.9609951179,0.001158332824,-0.000388821436437637,0.3901142982,58.49,70.5,0.2053342451701145
VHM,2023,5.806448603,0.002056693774,-0.007211718495763885,1.4345141705,43.2,40.0,-0.07407407407407414
VIB,2023,6.9812717748,0.002426116078,0.000785318888352928,9.8035275397,15.21,18.95,0.24589086127547655
VIC,2023,86.9103220792,0.000192725578,-0.003332420254200162,3.5044405108,44.6,40.55,-0.09080717488789247
VIX,2023,13.5077144314,0.001157908473,0.00437829599409272,0.0291426186,13.03,9.38,-0.28012279355333836
VND,2023,13.2186759557,0.0013037322409999998,-8.647196612509162e-06,1.5286253041,18.32,12.21,-0.3335152838427947
VNM,2023,15.7091475042,0.0028836420680000002,0.0003645218508373689,0.503847326,61.8,61.23,-0.009223300970873791
VPB,2023,13.7446064836,0.000819896725,0.0022665288970888874,4.8483053038,17.75,18.69,0.05295774647887331
VPI,2023,28.0416686511,0.001368406465,-0.008229973990287865,2.1590694712,45.83,59.8,0.3048221688850098
VRE,2023,12.4476,0.001238442067,0.0012390436412100137,0.2597857665,23.3,17.15,-0.2639484978540773
VSC,2023,29.4657195229,0.00043571880299999997,0.0020385295954335344,0.5757262501,14.16,12.34,-0.1285310734463277
VTP,2023,24.6825692264,0.0025579674839999998,-0.00027724050052503385,3.069204797,55.83,136.9,1.4520866917427908
